akonadi-server	akonadi-server
akregator	akregator
ark	ark
audiocd-kio	audiocd-kio
bluedevil	bluedevil
breeze-icon-theme	kf6-breeze-icons
colord-kde	colord-kde
dolphin	dolphin
dragon	dragon
elisa-player	elisa-player
ffmpegthumbs	ffmpegthumbs
filelight	filelight
flatpak-kcm	flatpak-kcm
gwenview	gwenview
initial-setup-gui-wayland-plasma	kde-settings
kaccounts-integration-qt6	kaccounts-integration
kaccounts-providers	kaccounts-providers
kaddressbook	kaddressbook
kamera	kamera
kamoso	kamoso
kate	kate
kcalc	kcalc
kcharselect	kcharselect
kde-connect	kde-connect
kde-gtk-config	kde-gtk-config
kde-inotify-survey	kde-inotify-survey
kde-l10n	kde-l10n
kde-partitionmanager	kde-partitionmanager
kde-settings-pulseaudio	kde-settings
kdebugsettings	kdebugsettings
kdegraphics-thumbnailers	kdegraphics-thumbnailers
kdenetwork-filesharing	kdenetwork-filesharing
kdeplasma-addons	kdeplasma-addons
kdialog	kdialog
kdnssd	kdnssd
keditbookmarks	keditbookmarks
kf6-baloo-file	kf6-baloo
kfind	kfind
kgpg	kgpg
khelpcenter	khelpcenter
kinfocenter	kinfocenter
kio-admin	kio-admin
kio-gdrive	kio-gdrive
kjournald	kjournald
kmahjongg	kmahjongg
kmail	kmail
kmenuedit	kmenuedit
kmines	kmines
kmouth	kmouth
kolourpaint	kolourpaint
konsole	konsole
kontact	kontact
korganizer	korganizer
kpat	kpat
krdc	krdc
krdp	krdp
krfb	krfb
kscreen	kscreen
kscreenlocker	kscreenlocker
ksshaskpass	ksshaskpass
kwalletmanager5	kwalletmanager5
kwebkitpart	kwebkitpart
kwin	kwin
kwrite	kate
neochat	neochat
okular	okular
pam-kwallet	pam-kwallet
phonon-qt6-backend-vlc	phonon-backend-vlc
plasma-breeze	plasma-breeze
plasma-desktop	plasma-desktop
plasma-desktop-doc	plasma-desktop
plasma-discover	plasma-discover
plasma-discover-notifier	plasma-discover
plasma-disks	plasma-disks
plasma-drkonqi	plasma-drkonqi
plasma-nm	plasma-nm
plasma-nm-l2tp	plasma-nm
plasma-nm-openconnect	plasma-nm
plasma-nm-openswan	plasma-nm
plasma-nm-openvpn	plasma-nm
plasma-nm-pptp	plasma-nm
plasma-nm-vpnc	plasma-nm
plasma-pa	plasma-pa
plasma-print-manager	plasma-print-manager
plasma-systemmonitor	plasma-systemmonitor
plasma-thunderbolt	plasma-thunderbolt
plasma-vault	plasma-vault
plasma-welcome	plasma-welcome
plasma-welcome-fedora	plasma-welcome-fedora
plasma-workspace	plasma-workspace
plasma-workspace-wallpapers	plasma-workspace-wallpapers
plasma-workspace-wayland	plasma-workspace
polkit-kde	polkit-kde
sddm	sddm
sddm-breeze	plasma-desktop
sddm-kcm	sddm-kcm
sddm-wayland-plasma	plasma-workspace
signon-kwallet-extension	signon-kwallet-extension
skanpage	skanpage
spectacle	spectacle
xwaylandvideobridge	xwaylandvideobridge
